	target_text	input_text	prefix
1741401	__id__A8-giga-en.clean.ol	    the est republican said judge isabelle prevost   despre took action against faure and marchiani after receiving a document from the domestic counter   espionage service     the dst     which said the chirac government paid a huge ransom to the kidnappers     the dst reports to the interior ministry     according to the document     sent to prevost   despre in january     the ransom money     was allegedly embezzled and turned up in a swiss bank account belonging to the safa brothers     two wealthy lebanese brothers who took part in the chirac government  s negotiating team in and early to secure the release of the hostages         the paper said         according to the dst     the safa brothers allegedly passed the money to mr pasqua and mr marchiani in envelopes of cash sent to members of their entourage         it continued         some     million francs     dollars were apparently withdrawn in cash during         the paper said quoting     police sources     as saying the total ransom amounted to	genre
144845	__id__A11-icwsm09stories.real.ol	in a rental car but for a weekend trip that  s quite a haul and with gas and rental car prices     i  d probably come out even     so last night     i started the great search for reasonable flights and ended up booking them to charlotte for a pop     pretty reasonable price     but that  s still a four hour drive to charleston     so     i decided to use something i  ve never tried before priceline     com     i actually bid for a rental car and got it accepted     with all their scam fees and taxes     it  s going to be for the weekend     but that  s not bad     plus     i  m taking a day off on friday for the flight and drive and it  ll be october so the drive should be beautiful     monday is colombus day and is a holiday for me     so that  ll be a four   day weekend for us in what is supposedly lovely     historic charleston     sc     j    riley     finally i  ll be getting my long   desired road   trip     long weekend     too bad it  s not until october     	genre
144528	__id__A11-icwsm09stories.real.ol	while i was there i saw an office chair that i fell in love with     my old chair is the typical executive type chair with a high back and arms      very masculine     very heavy     hot and old   fashioned looking     this new chair is a compact white clamshell shape design      very sleek     modern     small and cute     well     of course i had to have it     they did n t have one in the store     so i ordered it     and it came today     i love it         it fits so perfectly in my office     and i feel good in it               a great decision     i do n t usually splurge like this      if anything i overthink every purchase i make     but the chair called           i answered               and i think we  re a match     now     back to being frugal and good      but at least i can pay my bills from my new chair         mosquito update two days ago when i returned home there were at least mosquitos on my backdoor just waiting for me to open it and let them in     needless to say     i sprayed the piss out of the door and my whole backporch     it has helped     an	genre
175776	__id__A16-wiki.ol	in     mulroney was accorded canada s highest civilian honour when he was made a companion of the order of canada    in     mulroney received the woodrow wilson award for public service from the woodrow wilson international center for scholars of the smithsonian institution at a ceremony in montreal    the award was in recognition of his career in politics    in january     mulroney delivered a keynote speech in washington    d   c    celebrating the tenth anniversary of the north american free trade agreement    in june     mulroney presented a eulogy for former u   s    president ronald reagan during the latter s state funeral    mulroney and former british prime minister margaret thatcher were the first foreign dignitaries to eulogize at a funeral for an american president    two years later    at the request of prime minister stephen harper    mulroney traveled to washington    dc along with michael wilson    canada s ambassador to the united states    as canada s representatives at the state funeral	genre
609736	__id__A17-review-sample.ol	indled a lot of people out of money and then conveniently disappeared from his boat    the verdict was suicide    but the insurance company that had sold him a half   million dollar insurance policy is not convinced    when years passed    the company was forced to pay the premium to jaffe s wife    two months later    a man looking very much like jaffe is spotted in mexico    the insurance company hires private investigator kinsey millhone to investigate and she does spot a man who appears to be jaffe    along with his girlfriend renata    they escape kinsey s surveillance and she returns to california    jaffe s son brian is in big trouble with the police and kinsey concludes that jaffe will return to help his son    as she continues her investigation she becomes acquainted with jaffe s supposed widow and his two troubled sons    she also comes in contact with some of her long   lost family    and agonizes over whether she wants to establish a relationship with them    and open up old wounds    sue grafton	genre
483287	__id__A17-review-sample.ol	i am not interested    they have yet another deal    the calls continued after this conversation for another couple of months    at this point    my subscription has expired    i was relieved as the telemarketing phone call really turned me off    you should have been there to see me receive my credit card statement    cooking club of america automatically charged my credit card with my next subscription without my permission    it was three months after my original subscription expired    as you can imagine    this was extremely upsetting    upon doing my research for this article    i have come to find that others have had similar experiences with this magazine    it s a shame too    as this magazine has plenty of potential    unfortunately    their marketing department could utilize different tactics in maintaining their current membership    despite this magazine being very affordable    i recommend that you save your money on this one and try fine cooking    cuisine at home or cook s illustrated    not only do these	genre
1741057	__id__A8-giga-en.clean.ol	billion dollars had been withdrawn     germany was alone among the euro   zone countries to opt for a so   called     big bang         with the euro becoming the sole legal tender at the stroke of midnight on december     yet the germans   bigger   than   expected rush to obtain euros wednesday signaled a breakdown in a non   binding agreement between retailers and businesses to continue accepting payments in marks until february     the powers that be had clearly not taken into account the frustration that would arise for retailers in operating two separate cash tills         no one can force me to accept marks         a taxi driver snapped defensively     refusing to give his name before he spurted off with a customer     italians were eyeing the german cold turkey method with envy     in a rome stockroom     domenico scognamiglio sat in front of a small calculator     tearing his hair out         it  s hell     how do the authorities think that we  re going to face up to this dual currency business for the next two mo	genre
181526	__id__A16-wiki.ol	rol    the most important legal concept in the feudal period in relation to land was seisin    current legal status seisin is now confined to possession of the freehold    though at one time it appears to have been used for simple possession without regard to the estate of the possessor    its importance is considerably less than it was at one time    owing to the old form of conveyance by feoffment with livery of seisin having been superseded by a deed of grant    and the old rule of descent from the person last seised having been abolished in favour of descent from the purchaser    lord denning controversially supported the abolition of the concept of seisin    however the common law has since decided to maintain the concept of seisin    at one time the right of the wife to dower and of the husband to an estate by curtesy depended upon the doctrine of seisin    the dower act     however    rendered the fact of the seisin of the husband of no importance    and the married women s pro	genre
143064	__id__A11-icwsm09stories.real.ol	d there     it was a studio apartment with no walls other than for the bathroom     which means when we had guests over our bed was sitting smack dab in the middle of everything     there were huge gaps in the wall around the air conditioner     which did n t work very well     our electric bills were spectacularly high which meant that in the end we were n t really saving very much money     but we were young     poor     and going to school     and so we put up with it for nine months until we moved into on   campus housing which was not too much more expensive when you lumped utilities into everything     and was a lot nicer     then my business started doing better     when i say better i mean i actually started getting paid     i was making about k per year and felt rich     considering i was still in school at the time     and being the naive     young entrepreneur i figured the hard times were in the past and things were only going to get better     so my wife and i bought a new townhouse in provo and moved i	genre
42396	__id__A01-discuss-hyper-sample.ol	aid fir by your employer in advance of presenting yourself fir admission    is also found effective in many countries   a requirement to mentor at least two local nationals in whatever skills you are employed for    combined with a restriction on the period of that vacancy if any similar role being filled by an incomer would reduce immigration substantially     try it    it is proven to work in many countries   anyone accustomed to expat work will be familiar with all these provisions    none if them are new or even unusualhttpwww   channel   comnewsbedroom   tax   legal   challenge   victory   fife   councilshows how room size makes a bedroom taxed    box room not taxed or small cupboard also not taxed   actions like the bedroom tax prove that parliament is full of psychopaths   their lack of empathy is proof   they don t rise up the ranks unless they have low empathy   i thought everyone knew that   it should be seen as what it is    a form of ethnic cleansing    albeit financial ethnic cleansing   this poorly thought out	genre
