	target_text	input_text	prefix
3963	__id__A01-discuss-hyper-sample.ol	l cavuto  ;  reitarated the spin  ,  saying the deficit shrank amid higher taxes and lower government spending  .  he then presented the subject as a debate  .  conservative guest scottie nell hughes said  ,  the sequestration came and it went  ,  and guess what  ?  we still have puppy dogs  ,  and we still have rainbows and lollipops  .  this just shows we need more cuts  ,  and maybe we need some more sequestration to have a better economy  .  predictably  ,  cavuto never brought up some of the real  ,  practical consequences of the sequester that are hurting real americans  .  liberal guest rick ungar did say  ,  look at the percentage of cuts  ,  theyre huge  .  this is a major reduction  .  he credited the deficit shrinkage to  ,  the economy is returning  ,  so you see higher tax revenues coming in when the economy returns  .  higher taxes on exceedingly wealthy people  ,  yes  ,  its playing a role  .  however  ,  ungar also said  ,  were not disagreeing with cutting  .  the cuts should be a little smarter	genre
195655	__id__A16-wiki.ol	emmylou harris ,  feist ,  cat power ,  m .  ward ,  the black keys ,  bright eyes ,  brad mehldau and rosario ortega .  harris's th album ,  sub rosa ,  recorded in rio de janeiro ,  was released in july and features guest vocals from conor oberst ,  melody gardot ,  and norah jones .  harris's th album ,  the stripped down borne away ,  was released on june  ,   .  in  ,  harris joined john zorns ,  the song project ,  along with mike patton ,  sofia rei ,  and sean lennon ,  writing lyrics for various zorn compositions and singing them at festivals worldwide with a band featuring marc ribot on guitar ,  john medeski on keyboards ,  and zorn conducting .  two of the groups albums have been released by tzadik records .  harris and jones appear together in the david wainmichael showalter film ,  they came together ,  performing his song ,  it was the last thing on your mind ,  which harris produced .  in he appeared in showalter's film  " hello ,  my name is doris ,  "  performing his song ,   " anything was possib	genre
154514	__id__A11-icwsm09stories.real.ol	my th birthday in  ,  rich told me that he did n't wanted to be married anymore because he was unhappy so he moved out  .  it was completely devastating to me and to our poor year old daughter  .  i will never get that picture out of my head  .  lillianna was sitting on rich 's lap and she held his face in her hands and cried  ,   "  why daddy  ?   .  .  .   .  why  ?   ?   "  that memory still makes me sick  .  all marriages have their ups and downs  .  i do n't know anyone with a fairytale marriage  .  so imagine my surprise when lillianna and i came home after a fun dinner at her favorite chinese restaurant and we saw rich 's car in the lot  .  he was supposed to be at his night job until pm  .  the first thing i noticed was that the end of the table where rich paints his soldiers was empty  .  i asked him why he put his stuff away  .  he gave a vague answer but i had a bad feeling in the pit of my stomach  .  finally he said he was moving out  .  just like that  .  .  .  he was n't happy and he was leaving  .  when he moved	genre
164204	__id__A11-icwsm09stories.real.ol	d however call his dad who 's a cabbie to come and pick me up and proceed to cry at him and tell him what i thought of the situation  .  .  .  not good  .  so yesterday morning i woke up and felt appalling like it had really hit me  .  and then today  -  i felt better  !  fickle old me  .  but seriously  ,  it hurts to think and wonder and cry so i am back to blocking out  ,  lovely  ,  lovely la - la la  .  and today i booked ibiza  .  weeks ago i was planning sunday roasts and cleaning for him and now in weeks time eeek i 'll be off for the weekend to ibiza  .  we arrive in the middle of a thursday night and are going straight out clubbing till the morning  ,  rock n roll  !  am excited  ,  scared myself a little by watching you tube footage of skinny - beautifuls partying in their bikini 's  .  am not eating between now and then  .  this is a joke  -  i love food  ,  yum yum so life is ok i reckon  ,  aside from ex - nastiness and pain  .  blocking out  ,  blocking out  .  .  .  have lots of things to look forward to and of cours	genre
1618229	__id__A7-stackexchange-sample.ol	q home made bottom bracket plastic sleeve i want to make a plastic sleeve from a water bottle ,  for a classic cup and cone bottom bracket ,  to protect against moisture and impurities that may run down the seat tube .  how do i know the proper size i need to cut it to ?  is there a better material i can use ,  rather than a plastic bottle ?  a it should be simple enough to measure the b . b .  shell width minus the width of the two cups to get a tailored fit .  you can cut the circumference to fit while you work ,  but shell diameter is probably approx  -  mm .  but should you ?  at the moment any moisture etc running down the seat tube is pointing at the drain hole ,  perfect .  if there is plastic in the way ,  moisture will be diverted ,  possibly towards the bearings you want to protect .  cartridge b . b . s have other seals to mitigate this .  if the b . b .  is more precious to you than the cost of a replacement ,  consider removing it for safe keeping and using a sacrificial replacement ,  cartridge	genre
194002	__id__A16-wiki.ol	istmas ,  a sequel ,  was produced in  .  since then ,  deyoung has appeared in more than films and television series ,  including harry and tonto  ,  the lindbergh kidnapping case  ,  captains and the kings  ,  the  ,  mile chase  ,  centennial as john skimmerhorn ,  blue collar as an fbi agent ,  shock treatment ,  the sequel to the rocky horror picture show ,  where he played twin characters who sang a duet with each other ,  master of the game as brad rogers ,  and flight of the navigator in which he played bill ,  david's father .  also in the s ,  he made a guest appearance on murder ,  she wrote ,  like fellow navigator actor joey cramer .  in he guest - starred in the television show beauty and the beast as the specialist in voodoo professor alexander ross .  in the civil war film glory ,  he played union colonel james montgomery .  other projects included the films suicide kings and last flight out  .  he has guest - sta	genre
184477	__id__A16-wiki.ol	edfordshire university ,  for her lifetime contribution to the performing arts .  in december  ,  robbins released her third album ,  a jazz based affair ,  entitled soho nights ,  which was written as a collaboration with the italian saxophonist alessandro tomei ,  and recorded at abbey road studios in london .  robbins also co - wrote the well - received easy listening album we're just passing through with broadcaster and journalist nicky campbell ,  which was released in  .  robbins was one of the grumpy old women on a sell - out tour in with comedian jenny eclair and actress susie blake .  robbins appeared in british sitcom citizen khan in december and toured again with grumpy old women during spring  .  robbins appeared in bbc one's holby city in as mature expectant mother stella clark .  she then went on to play the lead role in farrena films' comedy - thriller short movie the other side with valerie hope .  film and television work robbins acted in feat	genre
317074	__id__A17-review-sample.ol	le together a final led zeppelin album which would be called coda .  the recordings were from between and with some fresh overdubs by plant and page where required as followed .  we open with the rocker we're gonna groove which is the same version as it would appear on the led zeppelin dvd and recorded at the royal albert hall in january ,  not morgan studios like the notes stated .  it's the same version as on the dvd but page overdubbed guitar solos in to fill out the songthe overdubs are not on the dvd version and plant's voice went through a phaserunlike teh dvd version .  next is poor tom which is a great countryish outtake from led zeppelin iii .  the song has page playing acoustic guitar over a classic bonzo drum pattern with jonesy filling out the bass and plant singing and playing harmonica .  next is i can't quit you baby which is the same song as on led zeppelin i ,  but on steroids .  harder drumming and more furious guitar singing than on the original .  it has	genre
1620812	__id__A7-stackexchange-sample.ol	nd their way to bone marrow ?  miraculously ,  transplanted stem cells find their way to the bone marrow missing the stem cells .  how do they achieve this ?  a the transplantation is an equivalent of a process that naturally occurs in human body ,  homing of the hematopoietic stem cells .  immature hematopoietic stem cells have the ability to pass the bone marrow barrier ,  and therefore is able to migrate between bones and other organs within an individual .  e . g .  thymus ,  which is how it can produce t cells .  williams et al .  believe that the process ,  homing ,  is a complex interaction and is similar to the migration of leukocytes to inflammatory sites .  peripheral stem cell transplantation makes use of this ability .  the donor first will be administered with certain drugs to proliferate stem cells in bone marrow and hereby raising the concretion of hematopoietic stem cells in blood .  those stem cells in blood then will be collected and transfused into the recipient .  eventually those cells wil	genre
1751676	__id__A8-giga-en.clean.ol	ds against lebanon were a violation of the country 's sovereignty and territorial integrity  .   "  these raids constitute a  "  challenge to international law as represented in un security council resolution calling for an unconditional israeli withdrawal from lebanese territory  ,   "  the spokesman added  .   "  the continuation of these raids threatens to increase acts of violence  "  said the spokesman  ,  who also expressed  "  saudi arabia 's support of lebanon in the defense of its territory and the protection of its citizens and security  .   "  qatar  ,  which in april for the first time hosted a visit by an israeli prime minister  ,  condemned  "  israeli aggression  .   "   "  this aggression threatens to derail the peace process  ,  increase tensions in the region and expose international peace and security to danger  ,   "  a foreign ministry spokesman said quoted by the official qna news agency  .  he called on israel to  "  renounce the politics of violence which only sparks violence  ,   "  underlining  "  the need	genre
