	target_text	input_text	prefix
1625305	__id__A7-stackexchange-sample.ol	derstand what they mean exactly    is there any relation between those terms and dna   binding proteins     the article dna supercoiling   a global transcriptional regulator for enterobacterial growth    a in short nucleotide   associated proteins are dna   binding proteins that bind dna    rna   polymerase associated proteins bind rna   polymerases and are required for its functionality    in more detail dna   binding protein is a higher level term that comprises all proteins that bind to dna    these can be seen as nucleotide   associated proteins as they interact with the nucleotides in the dna strand    even though i did not hear people use that term very often    there are two types of binding non   specific dna   binding proteins that do not bind to specific sequences dna sequences    e   g    structural proteins    specific dna   binding proteins that bind to specific dna sequences    e   g    transcription factors    these proteins mostly have specific dna binding motifs like zinc fingers or helix   turn   helix motifs   	genre
158964	__id__A11-icwsm09stories.real.ol	urday driving by in my parents car we were going to visit my aunt     the bench was on a busy corner     near a traffic light     when we stopped for the light i looked out the window right at him     i was afraid to wave     afraid if my parents saw theyd refuse to let me see him any more     which was what happened     in the end     he looked right at me right into my eyes     as the car pulled away     i saw him get up and stumble away     hed been waiting     you see for me     i saw him there on and off for the next several years     id finally been forbidden to talk to him     being found out whilst kipping cents for a couple of cokes     id ride my bike on the other side of the street     hurrying by very fast     unable to look him in the eye     feeing guilty as hell for abandoning him     he never knew why i stopped coming by     ive always regretted lacking the courage to defy my parents and just tell him but i was afraid i had good reason to be     hed just look at me with those big sad eye	genre
362524	__id__A17-review-sample.ol	ist geoff downes and drummer carl palmer    all of the music is taken from asia s classic trilogy of original albums       asia          alpha    and    astra    along with one track from the    then and now    compilation and three rare b   sides    classic tracks such as    only time will tell          heat of the moment          wildest dreams          don t cry          the smile has left your eyes    and    go    are all included here alongside powerful album tracks such as    sole survivor          the heat goes on          open your eyes          here comes the feeling    and    days like these       the band s strong musical hooks and unprecidented craft shine through in every track on this cd and offers an excellent sampling of asia during its classic era during the s    john wetton s commanding vocals    steve howe s soaring guitar work    geoff downes  melodic pop sensibilies rounded out by carl palmer s forceful powerhouse percussion gel into an effortless musical blend    beginning in the  s    asia went through a slew of personnel changes with geoff downes being	genre
1750282	__id__A8-giga-en.clean.ol	could go our way         murray said after the match     germany dominated the first half of monday  s confrontation as their right   side attack got the better of australia  s left   side defence     the only goal came one minute before half time when germany  s oliver domke managed to score a soft goal     slotting away a reverse stick shot from the top of the circle     australia  s goal keeper was not able to touch the ball as it fell into the middle of the net     according to murray     that miss illustrated a weakness in the australian defence     the australians showed better form in the second half     closing off the german  s right   side attack and putting pressure on their opponents   goal     yet the aussies were unable to capitalize     matthew smith missed a sitter four metres out minutes into the second half and mark hager failed to pot away his opportunity from nine metres five minutes later     their teammates also failed to take advantage of three penalty corners     murray expressed concern at	genre
166360	__id__A11-icwsm09stories.real.ol	just started feeling wrong     whatever i said     spoiled and entitled and stupid and boring and white and incapable of understanding anything outside of my suffocating sub   suburban bubble     whee     jack and i had a giant fight the other night     a real     fuck you             fuck me     no     fuck you         extravaganza     it certainly made jackson stand up a little straighter     he was in the shower for the worst of it     actually     and when it was over and i was cuddled up in bed reading a book with him     jack walked in        you could tell he still had his back up but was wholly reasonable once again        and said         jackson     do you know why i yelled at mommy like that     because i love her         i laughed     and later jackson and i were able to have a good talk about how you can fight with someone and still be friends         but why did n t you cry         he asked me     this was an astonishing echo from my past     as my grandmother marriott asked my mom the exact same thing     generations of marriott men have been	genre
165879	__id__A11-icwsm09stories.real.ol	rofit of     billion     or cents a share for the year   earlier period     revenue was     billion     up from     billion a year ago     adjusted income was cents a share     analysts had expected the networking giant to report earnings of cents a share on revenue of     billion     according to a survey by factset research     computer sciences corp    csc computer sciences corporation csc                     reported its first   quarter net income rose to     million     or cents a share     from     million     or cents a share     a year ago     revenue increased to     billion from     billion a year earlier     analysts surveyed by factset research had forecast computer sciences to earn cents a share on     billion in sales     the company expects revenue to come in between     billion to     billion and earnings of cents to cents a share in the second quarter     wall street is predicting the company will earn cents a share on revenue of     billion in	genre
30189	__id__A01-discuss-hyper-sample.ol	   well clearly you might think clients think well of you    because they are expected to be  ever so grateful  by a system that is not what it seems   obviously so do most social workers see themselves as benefiting their clients    but here s a reality check for you and i expect more people will report negatively when privately interviewed by researchers who are not part of social workhttpwww   communitycare   co   ukarticlesinconsistent   social   workers   putting   trafficked   children   at   risk   htmwhy do we need josh mcallister s cv at the end   and why do we need to know he s single   i d be more interested to understand why he only managed years as a teacher   to be fair in those three years he must have impressed sufficiently to be made head of department   also    i don t think that leaving teaching after three years to set up a social enterprise he feels passionately about necessarily implies that he couldn t  manage  it     for a sizeable chunk of the time he was working as a teacher	genre
1754579	__id__A8-giga-en.clean.ol	times to beat wellington hurricanes     in their super encounter at newlands here tuesday     the home side levelled the try count at three each thanks to a score in the final minute by two   try hero scrumhalf joggie viljoen     western province had trailed the visitors by a single point with the scoreboard reading     at the interval     wellington had taken their nickname to heart in the opening minute and were rewarded with a try from full   back christian cullen     converted by jon preston     it was only the boot of western province fly   half joel stransky that kept the home side in the game during the first minutes as he converted four of five attempts     twice stransky kicked his side into the lead only to see preston kick two penalties and convert george konia  s try to put wellington back in front     but a well   worked try by justin swart     converted by stransky     gave western province some heart at half   time     in a mirror image of the first half     wellington stormed across the pro	genre
1635177	__id__A7-stackexchange-sample.ol	nd rice i was thinking about doing a baked dish with chicen and rice covered with a can of cream of mushroom soup    i d like some advice    i was just planning on kinda winging it by cooking some rice    putting it in a casserole dish    placing some chicken breast on top    then covering it with the soup and baking until chicken is done    maybe put some bread crumbs on top so they get nice and brown    any tips before i try it out    a a couple of tips when you cook the rice    make sure it s not too soggy    or it won t absorb the flavour of the chicken and soup    make sure to liquefy the soup before pouring it over top or it will glop more than pour     especially if you don t plan to mix it with water or milk    put it in a bowl and mash it until it s liquid enough to pour    probably obvious for safety    make sure to fully cook the dish especially the chicken before taste   testing    you could also try a ready   to   serve non   condensed soup    this usually isn t as gelatinous as condensed sou	genre
30619	__id__A01-discuss-hyper-sample.ol	ordeal    httpt   fod   comtdbafdcx   jpgwatching england would be less of an ordeal if they played the one player who has consistently proven they can play football   michael carrick   a man with just england appearances to his name in years   since signing for united    he s played over games    and united have won league titles    and finished runner   up on two occasions by a margin of a combined point   for england    meanwhile    he has got england caps in that time   adam johnson has    adam fucking johnson   james milner has    how has this happened   bulldog scott parker has caps in that period of time   despite being an absolute donkey and being retired for the last years    emile heskey has england caps in that period of time   even though he s an absolute train   wreck    michael owen has caps in that time   and the numbers keep on coming   theo walcott has a total of caps   peter crouch    shaun wright   phillips    matthew upson    stewart downing    aaron lennon    jerma	genre
