	target_text	input_text	prefix
1751676	ds against lebanon were a violation of the country 's sovereignty and territorial integrity  .   "  these raids constitute a  "  challenge to international law as represented in un security council resolution calling for an unconditional israeli withdrawal from lebanese territory  ,   "  the spokesman added  .   "  the continuation of these raids threatens to increase acts of violence  "  said the spokesman  ,  who also expressed  "  saudi arabia 's support of lebanon in the defense of its territory and the protection of its citizens and security  .   "  qatar  ,  which in april for the first time hosted a visit by an israeli prime minister  ,  condemned  "  israeli aggression  .   "   "  this aggression threatens to derail the peace process  ,  increase tensions in the region and expose international peace and security to danger  ,   "  a foreign ministry spokesman said quoted by the official qna news agency  .  he called on israel to  "  renounce the politics of violence which only sparks violence  ,   "  underlining  "  the need	country international security council increase support security april time process increase international security news	expand
1750280	manchester united six points clear in the english premiership following their  -  win against coventry at old trafford on saturday  .  with second - placed newcastle travelling to blackburn on monday evening kick - off gmt manchester did not squander their chance to surge ahead  .  united went ahead two minutes after the break with cantona scoring his seventh goal in eight games  -  -  and th of the season  .  the goal stemmed from a mistake by coventry midfielder kevin richardson  ,  who failed to cut out a cross from ryan giggs  .  cantona was lurking and made no mistake from six yards  .  that gave coventry  ,  struggling to avoid relegation  ,  a mountain to climb and giggs should have added a second minutes later when keeper steve ogrizovic turned away a shot from andy cole after cantona had carved out the opening  .  liverpool 's  -  win over west ham kept pressure on the front two following first half goals from stan collymore and john barnes  .  collymore scored from yards out in the nd m	manchester united clear english win manchester united minutes made minutes win west half john	expand
1752570	in the intertoto cup  ,  had a hip injury  ,  knee injury and seven broken ribs following the august crash  .  but his full recovery was clear for all to see as he shot home in the th minute to take bordeaux into their first ever european final  .  though he has played in the league  ,  this was only his second european match after the quarter - final second leg against ac milan  .  full - strength bordeaux  ,  who only qualified through reaching the last four of the intertoto cup  ,  had about chances during the first half as they waltzed into slavia 's area at will  .  frantisek cipro  ,  coach of czech league leaders slavia prague  ,  complained of a congested fixture list  ,  but that surely could not explain his players ' miserable performance  .  striker dugarry had a lively first half and had a headed chance after just three minutes to begin the waves of attacks from the french club  .  dugarry headed directly into the hands of former qpr keeper jan stejskal on minutes in their best effort up to the	full home european final european final full half area list performance half minutes club minutes	expand
1754486	losing the league championship last year  .   "  to win the championship  ,  it is necessary for the club to change the commander  ,   "  he said  .  but kawasaki president motoki morishita said he would be looking for a south american replacement  .   "  i do n't find any japanese with whom i can entrust the responsibility  ,   "  he said  .   "  we may invite a head coach from brazil or argentina  .   "  senior coach yasuyuiki koshino takes over as temporary head coach  .  j - league soccer  ,  hit by falling attendances and tv ratings  ,  is still relying on its latin american connections  .  brazilians account for half of the foreign players with the j - league clubs  .  there are eight argentines and one paraguayan  .  but kawasaki have already sacked striker alcindo sartori and luiz carlos pereira  ,  japan 's player of the year in  .  pereira was considered too old at  .  alcindo moved to a second division club after scoring just goals in matches last season  .  nelsinho  ,  who has been in charge at gremio  ,  cori	league year club change south american find head head league american account half league year club	expand
1752229	the pitch preceded both sets of supporters taunting each as the players filed back to the changing rooms  .  arsenal 's ian wright  ,  who had a superb match  ,  said afterwards  "  it was tough to get only one shot on goal  "   ,  adding he had been  "  disappointed  "  not to find the scoresheet  .   "  however he denied reports he might be leaving the club  .   "  arsenal can have me as long as they want me  ,   "  wright said  .  mabbutt praised arsenal 's movement in the middle of the pitch  -  -  particularly dennis bergkamp and ian merson  -  -  but believed  -  was a fair result  .  arsenal had a whole host of chances during the first half  ,  though tottenham twice had shots on target with chris armstrong shining throughout up front  .  the tempo kept up till midway through the second half  ,  when  ,  as both teams tired  ,  the quality of football lost its edge  .  armstrong caused trouble for arsenal left back nigel winterburn as the tottenham striker looked lively in the opening minutes  .  merson shot high in the first opp	back find club long result half half quality left back minutes high	expand
1750376	cium would lower the incidence of blood pressure  ,  hypertension and pre - eclampsia  ,  they recommended calcium supplements for women at risk of developing the ailment  .  from an overview of the studies  ,  the researchers concluded that  "  the results are relatively consistent from study to study  ,  showing a reproducible positive effect  .   "  symptoms of pre - eclampsia include headache  ,  vertigo and vomiting  .  five percent of women suffering pre - eclampsia develop eclampsia  ,  which causes convulsions and can lead to a coma  .  in an accompanying editorial  ,  two doctors from oregon health sciences university in portland  ,  david mccarron and daniel hatton  ,  strongly urged women to take calcium supplements  .   "  current intakes in women of childbearing age are not sufficient to assure optimal gestational blood pressure regulation  .  younger women can no longer assume that the consequences of inadequate calcium intake will emerge only decades later as osteoporosis  .  they may occur within nine months a	women results study study include women health university david women current women age women months	expand
1755447	nd series with the blues  .  st .  louis goaltender jon casey stopped wendel clark 's wrist shot from the top of the right faceoff circle  ,  but the rebound came to doug gilmour  ,  who slid the puck to gartner for him to jam it in from the left side  .  al macinnis of the blues scored a power - play goal with seconds remaining in regulation time to force the extra period  .  in other games  ,  boston averted an opening - round sweep out with a  -  victory over visiting florida  ,  philadelphia ripped tampa bay  -  and colorado outlasted vancouver  -  in over - time  .  at boston  ,  adam oates had two goals and two assists and jon rohloff and rick tocchet scored seconds apart in the second period to keep the bruins alive in the series  ,  now led by the panthers  -   .  only two teams in nhl history have rallied to win a series after losing the first three games  ,  the toronto maple leafs and the new york islanders  .  at philadelphia  ,  power - play goals from mikael renberg  ,  pat falloon and john lecl	series top left power play time period games time period series history series games power play john	expand
1753842	at the  .  million - dollar pga heritage classic  .  roberts sank a  - foot birdie putt on the final hole to stand at  - under par entering the final round after opening with a and  .  roberts matched the course record with a on the front nine  ,  sinking five consecutive birdies in one stretch  .  his three - day total matched the tournament record set by hale irwin two years ago  .   "  i hit some good shots early and made some birdies and put them in the box  ,   "  roberts said  .   "  then i had some tough shots and made them on the back side  .  i did n't like the way i hit it at the end  .  i hit some wobbly shots on the back side  .   "  but he salvaged pars throughout to pull away from second - place mark o'meara  ,  who finished four strokes off the pace  .  roberts owned a six - stroke edge over four others  ,  including scotland 's colin montgomerie  .  zimbabwe 's nick price finished at  ,  one stroke better than new masters champion nick faldo of england and two ahead of australia 's greg norman  ,  who	day set years good made made back side end back side place including	expand
1754658	paris saint germain missed a glaring chance to regain the lead in the run - in of the french championship race when they were held  -  at home by bottom club martigues  .  a win would have seen luis fernandez 's side leapfrog auxerre and lead by a point with just three games to go  .  but the coach  ,  his players and  ,  home fans trooped home despondently after a tired performance that left them on points  ,  one adrift of the leaders  .  brazilian world cup star rai  ,  who had given the club a lift by signing a new three - year deal in midweek  ,  did little apart from getting himself booked just before the break  .  the home side 's best chance  ,  a header from panamanian striker julio dely valdes after minutes  ,  hit the base of the right post  .  on saturday auxerre seemed to have given the parisians  ,  who reached the european cup winners ' cup final by seeing off spanish side deportivo la coruna last week  ,  the perfect chance to take over at the top by drawing  -  at bastia  .  tl 	chance lead home club side lead home home left world club year home side chance side week chance top	expand
1753845	in the spanish cup final days ago  ,  are six points clear with five games to go  .  in the late match valencia kept alive their slim hopes of winning the title by beating racing santander  -  at home  .  brazilian star viola scored twice  ,  either side of villabona 's th minute effort  .  cruyff bowed to the fans demands and played young star ivan de la pena  ,  who he had controversially omitted from the cup final team  .  however  ,  it was his son jordi  ,  who declared himself for the dutch team on friday in preference to the spanish side  ,  who outshone the rest of the team  .  he offered some hope as he equalised atletico 's roberto 's th minute opener  ,  in the th minute  .  roberto was playing instead of the argentinian world cup star diego simeone who is away on world cup qualifier duty in south america  .  atletico  ,  eight times champions but chasing their first title since  ,  seized the initiative in the th minute as midfielder juan vizcaino scored and then argentinian leonardo biag	cup final days home side young cup final team team side team world cup world cup south times	expand
