	target_text	input_text	prefix
3963	l cavuto  ;  reitarated the spin  ,  saying the deficit shrank amid higher taxes and lower government spending  .  he then presented the subject as a debate  .  conservative guest scottie nell hughes said  ,  the sequestration came and it went  ,  and guess what  ?  we still have puppy dogs  ,  and we still have rainbows and lollipops  .  this just shows we need more cuts  ,  and maybe we need some more sequestration to have a better economy  .  predictably  ,  cavuto never brought up some of the real  ,  practical consequences of the sequester that are hurting real americans  .  liberal guest rick ungar did say  ,  look at the percentage of cuts  ,  theyre huge  .  this is a major reduction  .  he credited the deficit shrinkage to  ,  the economy is returning  ,  so you see higher tax revenues coming in when the economy returns  .  higher taxes on exceedingly wealthy people  ,  yes  ,  its playing a role  .  however  ,  ungar also said  ,  were not disagreeing with cutting  .  the cuts should be a little smarter	higher government subject shows economy real real major economy higher tax economy higher people role	expand
15398	ss this with your wife now  -  how cruel would that be . she is about to have your child ,  she needs your support . your lives and relationship are about to change forever anyway . you are about to become a dad  -  and your main emotional priority is that you dont fancy your wife ? maybe step back  -  this moment isnt all about you . or are you trying to punish your wife by making this special moment of the transition to parenthood suddenly all about your sexual feelings ? wait and see how you feel in the future and think about your what your child needs  -  at the moment the child needs a mother who can focus on a healthy birth ,  not whether its father still fancies its mother . i am sorry if that seems harshit's way too soon to panic . sexual attraction waxes and wanes on both sides over the course of a long relationship ;  add on the life changes you're going through and the physical changes caused by her pregnancy ,  and there's every chance this is a temporary problem that will sort itself in the end . talk to y	child support change main back making special child child long life end	expand
12992	he beach ball ,  please . thank you , or maybe it's the ref to blame . either way .  .  . kratosbethyname august pm . get ciffix for chrome . or the person who threw it on to the pitch ? what justice do you want ? if the beach ball goal were disallowed then you would only have been points further away from relegation .  the ref should have not given the goal ,  given that it clearly struck the balloon before going in . anyway ,  this has been done to death . let's agree to disagreewhat was that beach ball doing there ?  ! kratosbethyname august pm . get ciffix for chrome . maybe the ref should have disallowed it ,  but if the ball hadn't been thrown on to the pitch in the first place .  .  .  .  .  .  .  . th placed teams need to worry about how close they were to relegation now ? i know i know . that was stupid . mistakes all round . a liverpool fan was responsible for the beach ball . i wonder what would the ref would have done if it had defected a goal - bound shot around the post . just had a look at that incident and spo	beach ball august pm person beach ball goal goal death beach ball august pm ball place close beach ball goal post	expand
10533	it sideways true ;  and he does seem to be going through the yips right now . but that was not a soft strike by any means . it knocked his hand back . don't think you can change it just yet for england unfortunately . forster is a fine shot stopper ,  but he crumbled under the pressure against juventus earlier in the year ,  and along with ruddy he is untested at this level and has no experience with the england back four . and as we have seen with the likes of ben foster ,  it it far easier to look good as a goalkeeper playing for a poorer team ,  having shot after shot fired at you all the time . what is harder is maintaining concentration for a team at the top level ,  where you are expected to concentrate whilst being out of the game for large periods  -  that's why he failed at man united . alex october am . get ciffix for chrome . and as we have seen with the likes of ben foster ,  it it far easier to look good as a goalkeeper playing for a poorer team ,  having shot after shot fired at you all the	back change england year level experience england back good team time team top level good team	expand
20493	m an admirable quality in a judge .  " you are to be detained for ten years . or do i mean thirty days ? bggered if i know .  " its really easy to criticise both prosecuting counsel and the judge in the neil watson case  -  if you are not bothered to read the actual transcript of the hearing httpwww . crimeline . infouploadscasesneilwilson . pdf . when you do read the transcript ,  it puts an entirely different complexion on the matter . quite right . in fact it would seem that mr wilson did not commit the offence of sexual activity with a child at all ,  at least not on the basis of the evidence relied on by the crown he did not intentionally touch the victim . far from disciplining prosecuting counsel and seeking a review of the sentence ,  it would be more responsible to ask why he was charged in the first place and whether he was advised by his own counsel to plead guilty  -  and if so ,  why ? none of this detracts from the wider points made above ,  but actually this particular case is really one that has	quality years days case read read mr child review place made case	expand
20123	usands of women are murdered and their cases are not investigated by the various corrupt police . pretend this is instead s cambodia ,  and a vigilante is going around killing suspected genocidal maniacs . pretend it's s congo ,  and a vigilante is going around killing suspected raping machete murderers . or i guess if you don't care about any of that ,  i guess pretend to turn a blind eye . another person trying to say that killing innocent men is fine because women get killed . these men weren't ''suspected genocidal maniacs'' . how about people learn to stop raping and killing each other ,  regardless of gender ethnicity religion ? it's not at all found that they were  " innocent "  i know almost nothing about this case ;  i assume if there's a mexican women vigilante muderering bus drivers plus rapemurders ,  then she has good reason . and sure ,  would be great for people to learn that . i wholeheartedly agree . if they were rapists i would have little sympathy for them but there is no evidence th	women police care men women men people learn found case women good great people learn	expand
22446	espread contamination of non - occupationallyexposed people to the deca - bde brominated flame retardant product . worryingly ,  the highest levels found in our non - occupationally exposed volunteers were very similar to those observed in sweden of people occupationally exposed to deca - bde .  we are being contaminated daily by unregulated chemicals of unknown toxicity ,  such as the deca - bde flame retardant . since there is a dearth of knowledge on the levels of brominated flame retardants in the uk population ,  it is not possible to determine any trend in contaminant levels .  pcb contamination is gradually decreasing from levels found in the uk years ago which indicates that strong regulations work .  small numbers of people continue to be exposed and contaminated with high levels of certain chemicals ,  although median levels of some chemicals are decreasing compared with some earlier studies .  volunteers tested in nottingham had the highest median level of total chemical contamination of the che	people levels found people knowledge levels levels levels found years work small people high levels levels studies level	expand
18995	t . this is fun but outdated . setaside finished years ago and a new generation of upland farmers those remaining will be delivering jargon - laden ecosystem services . or jargon free 'public goods' from soil water catchment management ,  landscape partly rewilded to tourism ,  sporting including shooting ,  and carbon storage etc . all good national ecosystem assessment stuff but hardly sexy to write about . but its coming ,  so get used to it . oh ,  who pays ? we do because we currently externalise the environmental cost of food production . something else to get used to  -  higher food prices . have a dig at me blackgulllets all join . i reckon i could not rear pigs in my garden . gm concurs acknowledges this in his book feral his fight is with the subsidy system ,  not the weather beaten weary hill farmerbt  -  i agree we need fewer sheep . that's different to wanting to get rid of them altogether as you've argued before . as i've argued before ? when ? there was a local farmer on the radio recently trying to arg	years services free including good national food food book system local	expand
14725	correct it ? no ,  of course not . i had no idea where soldiers' graduation ceremonies happen and was impressed that you did know . indeed ,  every minority which has ever experienced persecution should have its own army . bring on the romany defence force ,  the lgbt special forces ,  the neo - pagan marines . there are some who regret that . there are some who regret that in the st century ,  there are still people deluded by nationalist ideology . it's ironic and extremely sad how much anti - semitism and zionism have in common two racist ideologies that should never have survived past the th century . the israeli  " defence "  force's use of a holocaust memorial for trainee soldiers' graduation ceremonies is a far worse insult to the victims  -  almost all of whom were killed by soldiers of one kind or another  -  than anything you describe here . or of course people using the holocaust as a handy hook to hang an anti - israel rant on . indeed ,  every minority which has ever experienced persecution should have its own a	idea experienced bring special st century people common past century kind people experienced	expand
4	reys bay on sunday and it was all caught on camera because the competition was being broadcast live  .  videos show fanning in the water with his surf board when the shark's fin pops out of the water behind him a split second before he was attacked  .  a youtube video of the attack had received more than  .  million views on youtube as of monday  .   ;  the shark knocked fanning off his board and rescuers on jet skis quickly arrived to scoop him up  ,  reported sky news  .  fanning escaped without serious injuries  ,  according to the sydney morning herald  .   "  i was just sitting there and i felt something just get stuck in my leg rope  ,  and i was kicking trying to get it away  ,   "  said fanning  .   " ' i just saw fins  .  i was waiting for the teeth  .   "  fanning said he punched the shark in the back in an effort to get away from it  ,  noted the morning herald fanning was competing with fellow australian julian wilson in the open's finals  ,  but organizers announced the competition was canceled and they will	competition live show water board water video million board news morning back morning competition	expand
