	target_text	input_text	prefix
317074	le together a final led zeppelin album which would be called coda .  the recordings were from between and with some fresh overdubs by plant and page where required as followed .  we open with the rocker we're gonna groove which is the same version as it would appear on the led zeppelin dvd and recorded at the royal albert hall in january ,  not morgan studios like the notes stated .  it's the same version as on the dvd but page overdubbed guitar solos in to fill out the songthe overdubs are not on the dvd version and plant's voice went through a phaserunlike teh dvd version .  next is poor tom which is a great countryish outtake from led zeppelin iii .  the song has page playing acoustic guitar over a classic bonzo drum pattern with jonesy filling out the bass and plant singing and playing harmonica .  next is i can't quit you baby which is the same song as on led zeppelin i ,  but on steroids .  harder drumming and more furious guitar singing than on the original .  it has	led called page required open version led dvd january version dvd page dvd version dvd version great led page playing playing led	expand
343982	t and  ,  guitarist jimmy page worked on the soundtrack to death wish ii and robert plant released his solo debut pictures at elevenwhich hit in the us .  also ,  page went through the zep vaults to cobble together a final led zeppelin album which would be called coda .  the recordings were from between and with some fresh overdubs by plant and page where required as followed .  we open with the rocker we're gonna groove which is the same version as it would appear on the led zeppelin dvd and recorded at the royal albert hall in january ,  not morgan studios like the notes stated .  it's the same version as on the dvd but page overdubbed guitar solos in to fill out the songthe overdubs are not on the dvd version and plant's voice went through a phaserunlike teh dvd version .  next is poor tom which is a great countryish outtake from led zeppelin iii .  the song has page playing acoustic guitar over a classic bonzo drum pattern with jonesy filling out the bass	page page led called page required open version led dvd royal january version dvd page dvd version dvd version great led page	expand
333195	lead vocal by roger daltrey ,  and excellent drum playing by ex - small faces drummer kenney jones .  the style and arrangement of john's it's your turn ,  featuring andy fairweather - low playing rhythm guitar ,  sounds a lot like their had enough from the who are you album .  the fast - paced cooks county is excellent with the vocals ,  keyboards ,  drums ,  and bass guitar ,  but the sound of pete guitar could be better on this and other songs .  the title track dangerous ,  eminence front ,  and cry if you want are good ,  but the live versions sound a whoel lot better since pete's guitar and john's bass guitar sound more electrifying ,  the vocals are stronger ,  and the drums sound more powerful .  i've known no war is excellent with the violin from the song the dirty jobs ,  the guitar riffs ,  drums ,  and the bass guitar .  one life's enough is an ok piano ballad with roger's singing ,  and the synthesizers by pete and tim gorman who would play on their farewell tour in  .  john's one at a time is an excellent	excellent playing small playing guitar lot excellent guitar sound guitar good live sound lot guitar guitar sound sound excellent guitar guitar play time excellent	expand
330628	album than some of the reviewers .  dope production ?  ?  in my opinion and it is just mine its the worst of all his albums .  the beats sound like they were rejected by that idiotic rapper  " juvenile "  and royce got a group discount on a quantity amount .  wack is a compliment .  words from the heart .  .  . get .  .  . rid .  .  . of .  .  . th .  .  . july !  !  !  !  apart from nottz tracks and or others from k . i . d . d .  this is a very poor outing indeed .  out of tracks there's about that dont sound like they done by a year exchange student's casio keyboard in his bedroom .  another dissapointing part is royce is starting to sound like a robotic version of all these other gangsta rappers .  normally this cat is iller than most but with nearly every songs subject matter involving drugs ,  guns bies its getting bland .  c'mon duke bring it back to the  " boom "  or even  " hiphop "  days .  bottom line ,  with either nottz or preemo on production you get masterpieces from royce ,  otherwise no thanks .  this is the last royce im wasting my d	production sound group july sound year part sound subject back days line production	expand
296229	hat they want and what they are all about !  !  i love honesty !  !  lol but a couple of things i noticed about them is that is very unique is that i really appreciate they dont curse at all that much ! i hardly heard profanity and i dont remeber hearing them bash women calling them bitches and hoes !  its mainly the grahpic sex they rap about !  !  lol but i love these fools !  im not into rap but i love their style !  their sound is very different from other groups i heard !  !  !  all of them rap and one only sings very well !  which alot of times there all singers and one rapper lol so for there only being one singer and the rest rappers that can really flow wow im very imprssed !  !  but this is def not for children !  ! so from seeing kids reveiws on here shame on parents letting they kids jam to p . r .  they are not kid friendly lyrics !  !  but oh well thats how it is today !  ! lol but in all if you love rb w a hip twist plus love that graphic sex talk than this is for you !  !  if not move along this wont cut it for yo	love things heard women love love groups heard times children parents today love love move	expand
355274	mp ; b elvis , cook , otis , franklin ,  etc , etc .  the commitments cd is the freshests that i have heard in yrs .  how i missed this cd until now blows my mind .  just like the cd .  my favorite is maria doyle doing i never loved a man .  wow !  .  what a soul burner .  the vocals are right there along with the horns .  not attention grabbing but soul carrying .  treat her right is my nd favorite .  roy head is from my area and i use to listen to him in different clubs .  believe it or not but he use to do some mean country and western .  but robert arkins vocal is just fantastic .  robert put more soul into the song and when you mix in the vocals it makes you want to join a soul band .  i kept passing over the maria doyle ,  bye bye baby song .  i started listening closer and this is now my rd favorite song on the cd .  without a doubt the whole cd is what soul is all about .  i would pay money to see them in concert .  a good idea would be to put them on direct tv pay per view .  just like the george thoroughgood concert .  any	cd cd cd man head area country put cd cd pay money good put pay view	expand
318305	s again for a while .  this album ,  has emotion ,  depth ,  thought ,  and humor ,  like the others ,  but it also has their age showing ,  and how they have had the years to think more about what they needed to bring to the table for .  here is the track list and my take on it .   .  intro  .  supa emcees  -  so amazing  .  the bizness featuring common  .  wonce again long island  -  a true classic  .  dinninit  .  brakes  .  dog eat dog  -  insane classic  .  baby baby baby baby ooh baby  .  long island degrees  -  lovely classic  .  betta listen  .  itzsoweezee hot  .  more  .  big brother beat  -  a great song  .  down syndrome  .  pony ride  .  stakes is high  - 	thought age years list common long baby baby baby baby baby long big great high	expand
322136	ve singing all of the harmonies and just rocks .  we then have the country - ish dance dance dance which is country to the core and features some great acoustic work from steve and dobro from john mcfee .  this track was not on the mid - s reissued lp or cassette for some reason but appeared on the original album ,  cassetteand the cassette reissue ,   - track and cdremastered cd version as well .  next is a rockified version of mercury blues which is a great rocking version of the blues standard about the car and steve made the track his own .  the album's second half starts with the rocking first single take the money and run which was a top hit in the summer of  .  the song was a story of a man and woman trying to rob some cash and the song was chosen as a single after kids at an elementary school liked what they heard .  the hit rock 'n me follows and is a great rockersee early in review for song's creation .  next is the remake of the late sam cooke's ballad you send me .  this re	country country great work john version version great version car made single top single school great	expand
307362	different album than some of the reviewers .  dope production ?  ?  in my opinion and it is just mine its the worst of all his albums .  the beats sound like they were rejected by that idiotic rapper  " juvenile "  and royce got a group discount on a quantity amount .  wack is a compliment .  words from the heart .  .  . get .  .  . rid .  .  . of .  .  . th .  .  . july !  !  !  !  apart from nottz tracks and or others from k . i . d . d .  this is a very poor outing indeed .  out of tracks there's about that dont sound like they done by a year exchange student's casio keyboard in his bedroom .  another dissapointing part is royce is starting to sound like a robotic version of all these other gangsta rappers .  normally this cat is iller than most but with nearly every songs subject matter involving drugs ,  guns bies its getting bland .  c'mon duke bring it back to the  " boom "  or even  " hiphop "  days .  bottom line ,  with either nottz or preemo on production you get masterpieces from royce ,  otherwise no thanks .  this is the last royce im was	production sound group july sound year part sound subject back days line production	expand
344381	ok i know people will think im crazy for saying this but i like these guys !  !  they do talk about sex ,  and sex ,  and um oh more sex !  lol lawd how garphic can you get !  !  ?  ?  but i love how they get to the point on what they want and what they are all about !  !  i love honesty !  !  lol but a couple of things i noticed about them is that is very unique is that i really appreciate they dont curse at all that much ! i hardly heard profanity and i dont remeber hearing them bash women calling them bitches and hoes !  its mainly the grahpic sex they rap about !  !  lol but i love these fools !  im not into rap but i love their style !  their sound is very different from other groups i heard !  !  !  all of them rap and one only sings very well !  which alot of times there all singers and one rapper lol so for there only being one singer and the rest rappers that can really flow wow im very imprssed !  !  but this is def not for children !  ! so from seeing kids reveiws on here shame on parents letting they kids jam to p . r .  they	people sex sex sex love point love things heard women sex love love groups heard times children	expand
