	target_text	input_text	prefix
1618229	q home made bottom bracket plastic sleeve i want to make a plastic sleeve from a water bottle ,  for a classic cup and cone bottom bracket ,  to protect against moisture and impurities that may run down the seat tube .  how do i know the proper size i need to cut it to ?  is there a better material i can use ,  rather than a plastic bottle ?  a it should be simple enough to measure the b . b .  shell width minus the width of the two cups to get a tailored fit .  you can cut the circumference to fit while you work ,  but shell diameter is probably approx  -  mm .  but should you ?  at the moment any moisture etc running down the seat tube is pointing at the drain hole ,  perfect .  if there is plastic in the way ,  moisture will be diverted ,  possibly towards the bearings you want to protect .  cartridge b . b . s have other seals to mitigate this .  if the b . b .  is more precious to you than the cost of a replacement ,  consider removing it for safe keeping and using a sacrificial replacement ,  cartridge	home made make water run cut material simple cut work cost	expand
1620812	nd their way to bone marrow ?  miraculously ,  transplanted stem cells find their way to the bone marrow missing the stem cells .  how do they achieve this ?  a the transplantation is an equivalent of a process that naturally occurs in human body ,  homing of the hematopoietic stem cells .  immature hematopoietic stem cells have the ability to pass the bone marrow barrier ,  and therefore is able to migrate between bones and other organs within an individual .  e . g .  thymus ,  which is how it can produce t cells .  williams et al .  believe that the process ,  homing ,  is a complex interaction and is similar to the migration of leukocytes to inflammatory sites .  peripheral stem cell transplantation makes use of this ability .  the donor first will be administered with certain drugs to proliferate stem cells in bone marrow and hereby raising the concretion of hematopoietic stem cells in blood .  those stem cells in blood then will be collected and transfused into the recipient .  eventually those cells wil	cells find cells process human body cells cells ability individual cells process sites makes ability cells cells blood cells blood cells	expand
1616632	most touching the rotor .  this provided the short lever travel i was looking for ,  as well as great stopping power i could lift the rear wheel if i pressed the front brake hard enough .  now ,  i just got a bike with hydraulic disk brakes sram apex  .  they are rather soft by comparison .  the pads don't touch the rotor until the lever has moved significantly .  i can pull the front brake lever all the way to the bar ,  and i still do not get nearly as much stopping power as i did with the mechanical brakes with half the lever pull .  the modulation is great ,  but i would really like more stopping power and a firmer lever .  is there a way to adjust this ?  in other words ,  i'm looking for something more like the third scenario in this image ,  and less like the second .  tldr are there any adjustments for hydraulic road disc brakes sram apex like there are for their mechanical counterparts ?  a there is no adjustment for modulation on the apex hydro brakes ,  but make sure the lever reach hasn't	provided short travel great power front hard front power half great power road make	expand
1612024	pressure in my tires ,  and among other things ,  i'm looking at the valves in the tubes .  it's an old mountain bike with inch tires .  can i use presta tubes on rims drilled for schrader valves ?  i know the valve will be smaller than the hole and could cause issues there ,  but has anyone had success or failures with this ?  a as you mentioned ,  one of the primary differences between a presta and schrader valves are the diameters -  - with schrader valves being slightly larger -  - and therefore the valve holes on bicycle rims are drilled to suit one size or another .  your foremost concern with using a presta valve in a rim drilled for a shrader valve shouldn't be 'movement' of the valve stem ,  as geoffc suggested ,  but rather a 'hernia' of the tube through the excess space at high pressure ,  leading to a blowout .  most mountain bike tires sit at a low pressure ,  therefore you will probably get away with it ,  however ,  there is a very inexpensive adapter ,  sometimes called a 'valve grommet' ,  which is mad	pressure things issues success size space high pressure leading low pressure called	expand
1619842	ta tgcatgctgat i don't understand how the dna can form bonds there ?  a dna - rna triplex formation is well - documented .  it was originally analysed in simple model polynucleotides where the dna has a polypurine strand and the rna has a polypyrimidine ,  e . g .  rcccccc dgggggggggggggg dcccccccccccccc ruuuuuu daaaaaaaaaaaaa dttttttttttttt but it is now known to occur in more complex sequences .  one of the best studied examples is in the promoter of the human dhfr gene gee ,  j .  e .  et al .  triplex formation prevents sp binding to the dihydrofolate reductase promoter .  j .  biol .  chem .   ,  in this work the oligonucleotide gr was shown to bind in a triple helix to spi binding site i in the dhfr promoter cr was used as a control .  triplex formation was detected by gel shift ,  and the specificity was confirmed by dnase i footprinting .  this effect is part of the regulation of dhfr  -  the transcript from a minor upstream promoter binds to the major promoter ,  see	form simple model human work site control effect part major	expand
1641623	th it in it need to be cooked ?  i'm asking because i found a recipe online for an ice cream that calls for baking coco ,  but doesn't call for cooking .  i've used baking coco before to make hot chocolate ,  but it seems that it wouldn't dissolve fully if not first put in some sort of hot liquid ,  even though it's finely ground .  if not ,  do i need to treat it differently before putting it in a recipe ?  a most of the ice creams i've made have been custard - based ,  meaning that egg yolks are cooked together with cream and sugar .  the mixture is chilled and then churned .  for a custard - style ice cream recipe including cocoa powder ,  the cocoa would likely be dissolved during the cooking step .  if you are following a no - cook recipe that includes cocoa powder ,  i would at least use a whisk to mix the cocoa in as thoroughly as possible .  however ,  dissolving the cocoa in a hot liquid would likely result in a smoother ice cream .  not sure what kind of recipe you are following ,  but you could probably	found online call make hot put hot made based including hot result	expand
1639010	dried oregano teaspoon black pepper ,  ground habanero peppers ,  seeded diced finely chipotle peppers ,  seeded diced finely a there is tremendous variation in how chilis are flavored ;  if you have three chili cooks in the room ,  you probably will have six different opinions .  the most traditional flavor base is built on chili and cumin ,  plus depending on region and variant ,  tomatoes ,  onions andor garlic .  after that ,  you get into preference .  some cooks don't add any herbs at all .  others add complex blends of spices even chocolate rivaling some of the mole sauces of mexico .  i think the most compatible herbs for chili include include mexican oregano which is a different herb than oregano ,  so if you can get it ,  it is the best choice ,  oregano as you have already mentioned ,  and thyme .  i do like to put a bay leaf or three in my chili although that may not be traditional .  still ,  if you don't have them available or cannot use them for some reason ,  leaving them out is a fine o	black ground room traditional built add add include include choice put traditional reason	expand
1609786	e side wall one of the rows has an extra covering on it ,  i'm almost sure that is to cover one of the brackets as mentioned in the answer below but even without that the whole cabin is curved .  a the cabin interior is curved to accommodate ,  among other things ,  the brackets holding the upper deck floor beams .  these brackets are a structural feature that transfers the weight of the upper deck to the fuselage with considerably less reinforcement that a straight t - joint .  the bracket acts as a small truss element ,  creating a triangle with the deck and the fuselage that partially turns bending loads into axial ones .  here is an actual production cutaway ,  noticeably different from wiki's simplified representation of the a's cross - section it would be possible to only wrap the interior lining around the brackets themselves ,  not along the whole length .  but they're not the only thing there although others could be rerouted ;  structure requires testing ,  and this curve saves a bit of weigh	side extra cover answer things small production section thing bit	expand
1640101	oven and uncovering the potatoes toward the end of cooking ensured dry ,  crisp skin .  a by  - inch baking dish provided plenty of space so that we didnt have to crowd the potatoes ,  and cups of salt allowed us to thoroughly cover the bottom of the pan .  i have found that salt roasting potatoes makes the skin crispy ,  without it getting hard .  like the above says ,  the potato itself seems fluffier .  the way the salt seasons the potato is particularly nice as well .  incidentally ,  you can reuse the salt over and over again ,  so it's not as wasteful as it might seem when you first consider the method .  you'll want to keep separate salt for things like this ,  though ,  since it picks up potato flakes and discolors a bit .  edit the atk method calls for covering the x baking dish for potatoes and cups of salt tightly with aluminum foil and roasting at f c for hours .  remove foil ,  brush potatoes with oil ,  raise oven temp to f c and continue roasting for  -  mi	end provided space salt cover found salt hard salt salt method salt things method salt hours	expand
1639288	oes if you need to increase the gravy's volume .  e . g .  paneer butter masala where tomato puree is better vs .  matar paneer where diced tomatoes bring out more tangy spicy flavor .  do you need to keep the peel on or lose it completely ?  if you need to lose the peel ,  peeled amp ;  canned tomatoes can save much time over having to boil or microwaving the tomatoes .  what is the cutting style required in the recipe ?  finely chopped ,  coarsely chopped ?  this point is relevant in case the recipe needs only semi cooked tomatoes .  are the tomatoes being used to add bulk or for flavor ?  canned tomatoes do have a slightly different flavor specially if a preservative brine solution has been added .  in salads or indian dishes like bhel puri ,  the way tomato pieces are added also contribute to aesthetics and make food more appetizing .  so canned tomatoes are a stric no - no for such dishes .  and overall -  use fresh tomatoes tomato is one of the veggies which can be chopped fast amp ;  painlessly . 	increase bring time required point case add added added make food	expand
1642283	rature help ?  other vegetables that would work better here instead ?  a you're not going to get any browning on the vegetables .  by cooking everything together ,  you're steaming everything ,  preventing anything from browning .  if the carrots were on the top layer ,  you could put it under the broiler top heatfor a minute or two ,  after everything's cooked through  .  .  .  but for that ,  i would put the rice on the bottom ,  the carrots above them ,  then the cod .  cook to your normal doneness ,  remove the cod and broil until you get some brown on the top .  you might still get away with it if the rice and carrots are mixed together  -  -  there's a special name for the layer of crunchy rice that you get when cooking paella which adds flavor and a contrasting texture .  as for flavorings  -  -  garlic and onion would have been my go - to in this sort of thing  .  .  .  but i'd also add bell peppers ,  possibly roasted in advance .  for spices ,  i'd serve it with za'atar blend  -  -  the citrusy quality of the sumac helps to	work top put top put normal brown top special thing add quality helps	expand
