	target_text	input_text	prefix
154514	my th birthday in  ,  rich told me that he did n't wanted to be married anymore because he was unhappy so he moved out  .  it was completely devastating to me and to our poor year old daughter  .  i will never get that picture out of my head  .  lillianna was sitting on rich 's lap and she held his face in her hands and cried  ,   "  why daddy  ?   .  .  .   .  why  ?   ?   "  that memory still makes me sick  .  all marriages have their ups and downs  .  i do n't know anyone with a fairytale marriage  .  so imagine my surprise when lillianna and i came home after a fun dinner at her favorite chinese restaurant and we saw rich 's car in the lot  .  he was supposed to be at his night job until pm  .  the first thing i noticed was that the end of the table where rich paints his soldiers was empty  .  i asked him why he put his stuff away  .  he gave a vague answer but i had a bad feeling in the pit of my stomach  .  finally he said he was moving out  .  just like that  .  .  .  he was n't happy and he was leaving  .  when he moved	rich year head rich held home rich car night pm end rich put	expand
164204	d however call his dad who 's a cabbie to come and pick me up and proceed to cry at him and tell him what i thought of the situation  .  .  .  not good  .  so yesterday morning i woke up and felt appalling like it had really hit me  .  and then today  -  i felt better  !  fickle old me  .  but seriously  ,  it hurts to think and wonder and cry so i am back to blocking out  ,  lovely  ,  lovely la - la la  .  and today i booked ibiza  .  weeks ago i was planning sunday roasts and cleaning for him and now in weeks time eeek i 'll be off for the weekend to ibiza  .  we arrive in the middle of a thursday night and are going straight out clubbing till the morning  ,  rock n roll  !  am excited  ,  scared myself a little by watching you tube footage of skinny - beautifuls partying in their bikini 's  .  am not eating between now and then  .  this is a joke  -  i love food  ,  yum yum so life is ok i reckon  ,  aside from ex - nastiness and pain  .  blocking out  ,  blocking out  .  .  .  have lots of things to look forward to and of cours	call good today back today weeks weeks time love food life things	expand
163530	lly jealous of this other girl that used to like me  .  kels i keep telling her that it 's not like that between us  ,  but she insists on competing against her  .  she got mad and said kels keeps giving her faces when she was n't so real loud when kels was nearby  ,  lexi said 'i love you  !   !  ' to me  .  i ignored her cuz i hate when people are like that  .  she 's really sweet  .  i love her to death  ,  but when you get kels  ,  lexi  ,  and me together  ,  it 's a nightmare  !  she also mentioned wanting to end things with her gf  .  today  ,  she told me about a dream she had  .  .  .  she said that her gf was in the hospital and i was with her lexi in the waiting room with her  .  then she asked if i 'd really do that even though i do n't like her gf  .  and i said yeah  ,  even though i do n't like her  ,  i 'd visit to make sure she was ok  .  then she said  "  really  ?  ok well it was a good dream then cuz next  .  .  .   "  then she just smiled and said nevermind  .  later she said she wanted to try to get off early so	real love people love end things today visit make good early	expand
160814	to head to the mall  .  the girls wanted to see mama mia so we hit an am show  .  it was very  ,  very abbatastic  .  it was okay  ,  not fantastic  ,  but not horrible either  .  about minutes from the end  ,  got a call on her cell  ,  which she answered i could have killed her  .  i heard her pick it up and whisper can i call you when the movie is over  ?   ,  then she hung it up  ,  looked at me and said it 's my dad  ,  and he 's crying  .  i need to go call him  .  she walked out of the theater and was gone for a few minutes  .  i heard her coming back from outside the theater before i saw her  .  she was absolutely wracked with sobs  .  she crawled over my lap and wailed my aunt just passed away  !   !   .  the terrorists arm 's immediately shot up and pulled into a comforting hug and cried along with her  .  i told the girls that we could just leave since the movie was just about over anyway  .  we headed out  ,  stopped in the girls room and headed back out to my car  .  from what i can figure out  , 	head girls show minutes end call heard call call minutes heard back girls girls room back car	expand
160399	he eventually calmed down a bit but you could tell that he had hurt his arm somehow  .  he kept holding onto it with his other hand and held it really still and close to his body  .  and probably the most telling thing that something was wrong was that he just sat there on the sofa  .  now hoonie never just sits there  .  oh  ,  he might sit somewhere and spit juice out of his mouth or he might sit somewhere else while banging our fine ikea  ,  ha  !  furniture with his wood hammer  .  .  .  but he never just  "  sits  "  there  ,  kwim  !   ;  and being that it was has naptime  ,  he eventually started to fall asleep  .  sitting upright  .  with his arm bent  ,  and supported by his other hand  ,  and held close to his body  .  he was a sorry sight to see  !  meanwhile  ,  jack and i were wondering what to do  .  er or immediate care  ?  immediate care or er  ?  we eventually settled on the er  .  so we quickly got dressed  ,  scooped him up  ,  buckled him in he cried just a little and drove up the hill to the hospital  .  now	bit hand held close body thing fine started hand held close body care care hospital	expand
170164	up this morning to the sound of my name being called out  .  i could have sworn it was my mom 's voice  .  but when i got out of bed i realized that it was am  ,  my mom was at work  ,  and my dad was out at loews  .  the only living beings in my house were my two beagles and my mom 's birds  .  i do n't know if i dreamt this voice or what  .  i feel like i was half awake when i heard it  .  but how could that be possible to hear sound if i was only half awake  .  if i was in rem sleep would n't i have been able to hear in my dreams better  ?  i wish i knew how this stuff worked  .  all i know is that every night dmt is pumped through our brains from the pineal gland to help us dream and trip balls so we do n't go insane while we sleep  .  am i able to hear sound if i 'm not in heavy rem sleep  ?  maybe i was in rem sleep  .  but right after i heard the voice i woke up  .  scared a little  .  the voice sounded annoyed  .  like i did something really bad  .  	sound called voice work living house voice feel half hear sound half hear night hear sound voice voice	expand
163916	tablespoon lemon juice what to do  .  beat in the egg yolks with the rest of the sugar until thick and pale yellow  .   .  bring the milk to a low simmer  .   .  beat the milk into the eggs and sugar in a slow stream  .   .  pour the mixture back into the pan and place over low heat  .   .  stir continuously until the custard thickens slightly around  - c and just coats the back of a spoon  .  dont over - heat  ,  though  ,  because at around c you will scramble the eggs  !   .  immediately remove from the heat  .   .  add the lemon curd to the warm custard  ,  stirring until it is dissolved  .   .  add the lemon zest  .   .  cover the custard with plastic wrap and refrigerate until cool overnight  .   .  strain the lemon zest from the cool custard unless you like it in there  .   .  whip the cream until it has doubled in volume you should have soft peaks  -  dont over - whip  .   .  fold the cream gently stir into the custard  .   .  add the lemon juice  .   .  freeze using a domestic ice cream machine	rest bring low back place low heat back heat heat add add cover cream cream add cream machine	expand
166360	just started feeling wrong  ,  whatever i said  ,  spoiled and entitled and stupid and boring and white and incapable of understanding anything outside of my suffocating sub - suburban bubble  .  whee  !  jack and i had a giant fight the other night  ,  a real  "  fuck you  !   "   "  fuck me  ?  no  ,  fuck you  !   "  extravaganza  .  it certainly made jackson stand up a little straighter  .  he was in the shower for the worst of it  ,  actually  ,  and when it was over and i was cuddled up in bed reading a book with him  ,  jack walked in  -  -  you could tell he still had his back up but was wholly reasonable once again  -  -  and said  ,   "  jackson  ,  do you know why i yelled at mommy like that  ?  because i love her  .   "  i laughed  ,  and later jackson and i were able to have a good talk about how you can fight with someone and still be friends  .   "  but why did n't you cry  ?   "  he asked me  .  this was an astonishing echo from my past  ,  as my grandmother marriott asked my mom the exact same thing  .  generations of marriott men have been	real made reading book back love good asked past asked men	expand
161362	a and walked out the door  .  the old woman watched the car pull out of the driveway  ,  and then sat back in her chair  .  she picked up the photograph on the stand next to her  .  it was of a tall young man  ,  with wavy black hair and kind black eyes  .  she was suddenly in tears  .  oh edward  ,  my edward  !  she sobbed  ,  pressing the picture to her heart  .  suddenly she heard a voice in her ear  ,  jane  .  she started  ,  it sounded just like edward  .  edward  ?  she said  ,  sitting up in her chair  .  its time  .  she blinked and there was her edward  ,  standing in front of her  ,  holding out his hand  .  jane stood up and hesitantly touched it  .  it was solid as a hand can be  .  oh edward  ,  am i dreaming  ?  you look just like the day we met  .  edward smiled  ,  his black eyes gazing sadly at her  ,  he was soon joined by a young brunette woman  ,  with the same sad  ,  black  ,  eyes  .  helen  ?  said jane rubbing her eyes no  ,  it cant be  !  i really must be dreaming  ,  or gone crazy  .  no mother	car back young man black black eyes edward edward edward edward time edward hand hand edward day edward black eyes young black eyes eyes	expand
160311	and it worked fine  ,  even though they were not very thick  .  i just had to be careful when frying and flipping them over  .  cinnamon french toast thick slices white bread  ,  crusts removed egg tablespoon sugar i used vanilla scented sugar teaspoon ground cinnamon cup ml milk butter  ,  for frying extra sugar  ,  for sprinkling g plain yogurt  ,  to serve fresh seasonal fruit  ,  to serve ml maple syrup  ,  to serve i used honey toasted pecans  ,  to serve cut each slice of bread in half to make rectangles  .  beat the egg  ,  sugar and cinnamon in a bowl  ,  then add the milk and combine well  .  melt tablespoon butter in a frying pan i used non - stick  -  over medium heat  .  dip the bread into the milk mixture  ,  covering both sides  .  sprinkle one side of each piece of bread with sugar and gently fry  ,  sugar - side down  ,  for minutes  ,  or until the undersides are golden  .  sprinkle the tops with a little sugar and flip over  .  cook until golden  .  serve with yogurt  ,  fresh fruit  ,  m	worked white sugar sugar ground sugar serve serve serve serve half make sugar add side sugar sugar side minutes sugar serve	expand
