	target_text	input_text	prefix
195655	emmylou harris ,  feist ,  cat power ,  m .  ward ,  the black keys ,  bright eyes ,  brad mehldau and rosario ortega .  harris's th album ,  sub rosa ,  recorded in rio de janeiro ,  was released in july and features guest vocals from conor oberst ,  melody gardot ,  and norah jones .  harris's th album ,  the stripped down borne away ,  was released on june  ,   .  in  ,  harris joined john zorns ,  the song project ,  along with mike patton ,  sofia rei ,  and sean lennon ,  writing lyrics for various zorn compositions and singing them at festivals worldwide with a band featuring marc ribot on guitar ,  john medeski on keyboards ,  and zorn conducting .  two of the groups albums have been released by tzadik records .  harris and jones appear together in the david wainmichael showalter film ,  they came together ,  performing his song ,  it was the last thing on your mind ,  which harris produced .  in he appeared in showalter's film  " hello ,  my name is doris ,  "  performing his song ,   " anything was possib	power released july released june john song project john groups released david film song film song	expand
194002	istmas ,  a sequel ,  was produced in  .  since then ,  deyoung has appeared in more than films and television series ,  including harry and tonto  ,  the lindbergh kidnapping case  ,  captains and the kings  ,  the  ,  mile chase  ,  centennial as john skimmerhorn ,  blue collar as an fbi agent ,  shock treatment ,  the sequel to the rocky horror picture show ,  where he played twin characters who sang a duet with each other ,  master of the game as brad rogers ,  and flight of the navigator in which he played bill ,  david's father .  also in the s ,  he made a guest appearance on murder ,  she wrote ,  like fellow navigator actor joey cramer .  in he guest - starred in the television show beauty and the beast as the specialist in voodoo professor alexander ross .  in the civil war film glory ,  he played union colonel james montgomery .  other projects included the films suicide kings and last flight out  .  he has guest - sta	series including case john show played game played made show war played projects	expand
184477	edfordshire university ,  for her lifetime contribution to the performing arts .  in december  ,  robbins released her third album ,  a jazz based affair ,  entitled soho nights ,  which was written as a collaboration with the italian saxophonist alessandro tomei ,  and recorded at abbey road studios in london .  robbins also co - wrote the well - received easy listening album we're just passing through with broadcaster and journalist nicky campbell ,  which was released in  .  robbins was one of the grumpy old women on a sell - out tour in with comedian jenny eclair and actress susie blake .  robbins appeared in british sitcom citizen khan in december and toured again with grumpy old women during spring  .  robbins appeared in bbc one's holby city in as mature expectant mother stella clark .  she then went on to play the lead role in farrena films' comedy - thriller short movie the other side with valerie hope .  film and television work robbins acted in feat	university december based road london women british december women city play work	expand
205940	he participated in the brno round of the f international masters season ,  where he took a pole position .  during the season petrov made his debut in the gp series for david price racing .  he replaced french driver olivier pla ,  who lost his sponsorship from direxiv in the team from the german round onwards .  in he moved to campos grand prix ,  where he joined giorgio pantano .  he scored five point - scoring positions from races and took his first victory at valencia on his way to finishing th in the standings .  in the gp asia series season for campos ,  behind champion romain grosjean and sbastien buemi .  in the main series petrov remained with the campos team .  he finished seventh in final standings ,  taking a win at the valencia street circuit .  he finished fifth ,  with a win in the sepang sprint race ,  in the gp asia series season for campos .  he stayed with the team for  ,  now rebranded as barwa addax ,  and finished as runner - up to the dominant nico	round international season season made series price team round point series season main series team street series season team	expand
197946	hakov quickly established himself as a first choice striker with tsvetan genkov and ccero .  he scored his first goal for dynamo with a powerful strike from outside of the penalty area against fc moscow .  during the season kerzhakov become the top scorer in the squad as dynamo finished third to earn a play off spot in the qualifiers for the uefa champions league .  during the season kerzhakov maintained his spot as a first choice striker ahead of aleksandr kokorin and fedor smolov but the season turned out to be less successful as dynamo finished eighth and lost to celtic and cska sophia in an attempt to qualify for the champions league and inaugural europa league .  return to zenit in january  ,  kerzhakov rescinded the last year of his contract with dynamo and returned to his first professional club zenit st .  petersburg ,  .  the following season began with a disappointing loss to fc twente in the europa league round of  .  however ,  kerzhakov went on to hav	choice area season top play league season choice season league league return january year club season league	expand
202052	an flatwater canoer and current world and european champion in the canadian canoe c -  m event .  popa's first international title came in as a member of the romania crew that won the c -  m and c -  m gold medal at the european under -  championship in boulogne ,  france .  in in zagreb ,  croatia ,  popa won gold medals in both the c -  m and m events .  in the c -  final in zagreb ,  he partnered with his brother constantin and took the bronze medal .  he then moved from his hometown club of constructorul hunedoara in hunedoara ,  romania to romania's premier club dinamo bucharest .  in  ,  popa was selected to represent romania at a major senior championship .  in pozna ,  poland .  he won the european championship in his first attempt as a member of the c -  m crew ,  with florin popescu ,  silviu simioncencu and josif chiril .  popa also competed in the c -  m race ,  winning a bronze medal .  in august  ,  popa's crew won the world championship c - 	current world european event international member won european won events club club major won european member won world	expand
204930	nd had a recurring role on the canadian drama instant star as vincent spiederman until  .  music kyte has released an ep ,  titled the let's talk ep .  the ep has original songs ,  written and performed by tyler kyte .  kyte played a rockstar on the show instant star for seasons where he was the guitarist for the backup band for jude harrison alexz johnson .  in the show ,  he performs a different version of the song from his ep ,   " what you need "  there are three versions the original demo ,  the let's talk epinstant star version ,  and the talking pictures version .  the song is on the songs from instant star three soundtrack ,  along with two songs that were performed by johnson on the show .  due to johnson's management at the time ,  they were not put on the soundtrack .  instead ,  kyte recorded the two songs and they were put on the soundtrack .  the two songs are  " unraveling "  and  " worth waiting for "  .  tyler also performs a song ,   " remind yourself "  ,  on the fourth season of insta	star music talk original songs show star show version original talk star version version songs star songs show management time put songs put songs	expand
187555	in the final although at that time ,  his ranking nd was lower than his junior compatriot chen long .  in september ,  lin won the japan open ,  his first super series title of the year .  he made a remarkable fightback after trailing  -  in the deciding game of the men's singles final against denmarks viktor axelsen but fought back to win  -  ,   -  ,   -  in one hour and minutes .  in march ,  lin defeated chou tien - chen to clinch his seventh men's singles title at the german open .  the two had a fierce battle early on in the match ,  which saw lin defeated by chou in the first set  -  .  exactly week after his triumphant win at the final of the german open ,  lin regained his all england title in birmingham england ,  giving him his th win at the event .  in impressive form ,  he beat fellow team china player tian houwei  -  ,   -  .  in april ,  lin dan beat world no .  chen long in straight games  -  and  -  to lift his sixth china masters crown in jiangsu ,  chi	final time long open year made final back open set final open england england world long	expand
206926	is former club wolves in the football league trophy final at wembley ,  collecting a runners up medal .  he left burnley and league football in  ,  joining north ferriby united .  non - league management he was manager of north ferriby united between and  .  he later managed pontefract colleries ,  winterton rangers and denaby united before being appointed manager of goole in november from where he was sacked in september  .  he later returned to manage pontefract ,  but resigned in december  .  winterton rangers in november he was appointed manager of winterton rangers for a second time ,  his first match in charge being the northern counties east football league division one  -  home with lincoln moorlands on november  .  he guided the club to promotion ,  as runners - up to parkgate ,  in the  -  season and then to be champions of the northern counties east league premier division the following season when they also won the leagu	club league league north united league management manager north united united manager november november manager time east league home november club east league	expand
199410	he  - metre backstroke and a gold medal in the medley relay .  josh was australia's first male backstroke world champion when he won the m backstroke at the fina short course world championships in hong kong .  he also won bronze in the  - metre backstroke at the pan pacific swimming championships in sydney .  at the summer olympics in sydney ,  watson swum the backstroke leg in the heats of the  - metre medley relay ,  before being replaced by matt welsh in the team that trailed the united states team home in the final .  watson was also a finalist in the  - metre backstroke ,  where he was narrowly beaten into fourth place .  watson continued to be selected in the same role except for a self - imposed break in until the summer olympics in athens ,  when he failed to qualify for the semifinals of the  - metrebackstroke .  this enabled him to collect a gold medal in the times ;  - metre medley relay at the world aquatics championships in fukuoka ,  japan . 	world won short world won summer team united team home place role summer times world	expand
